,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Rural(%): (-0.094, 31.333]'})",0.56,0.62,0.56,1.0,1.6129032258064517,0.21280000000000004,inf
1,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.62,0.56,0.56,0.903225806451613,1.6129032258064515,0.21280000000000004,4.54666666666667
2,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.56,0.78,0.56,1.0,1.282051282051282,0.12319999999999998,inf
3,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Richest(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
4,"frozenset({'Richest(%): (-0.095, 31.667]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.56,0.56,0.56,1.0,1.7857142857142856,0.2464,inf
5,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.62,0.78,0.62,1.0,1.282051282051282,0.13639999999999997,inf
6,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Richest(%): (-0.095, 31.667]'})",0.62,0.56,0.56,0.903225806451613,1.6129032258064515,0.21280000000000004,4.54666666666667
7,"frozenset({'Richest(%): (-0.095, 31.667]'})","frozenset({'Rural(%): (-0.094, 31.333]'})",0.56,0.62,0.56,1.0,1.6129032258064517,0.21280000000000004,inf
8,"frozenset({'Richest(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.56,0.78,0.56,1.0,1.282051282051282,0.12319999999999998,inf
9,"frozenset({'Total(%): (-0.095, 31.667]', 'Poorest(%): (-0.086, 28.667]'})","frozenset({'Rural(%): (-0.094, 31.333]'})",0.56,0.62,0.56,1.0,1.6129032258064517,0.21280000000000004,inf
10,"frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.56,0.78,0.56,1.0,1.282051282051282,0.12319999999999998,inf
11,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Rural(%): (-0.094, 31.333]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.62,0.56,0.56,0.903225806451613,1.6129032258064515,0.21280000000000004,4.54666666666667
12,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]', 'Rural(%): (-0.094, 31.333]'})",0.56,0.62,0.56,1.0,1.6129032258064517,0.21280000000000004,inf
